nombre_modelo,regresores_features,horizonte_meses,MAE,MAPE,folds,observaciones,mejora_vs_baseline
prophet_ipim_nivel_general_medias_moviles,ipim_nivel_general + ma_3m + ma_6m,12,1148.45,14.32,2,std_mape_folds=8.98; std_mae_folds=624.58,+5.53 pp
prophet_ipim_cac_var_materials,ipim_nivel_general + var_materials,12,1144.32,14.34,2,std_mape_folds=10.26; std_mae_folds=746.99,+5.50 pp
prophet_ipim_cac_var_general,ipim_nivel_general + var_general,12,1209.42,15.06,2,std_mape_folds=10.70; std_mae_folds=782.86,+4.79 pp
prophet_ipim_icc_var_general,ipim_nivel_general + icc_var_general,12,1235.19,15.29,2,std_mape_folds=10.40; std_mae_folds=755.40,+4.56 pp
prophet_ipim_cac_labour_force,ipim_nivel_general + labour_force,12,1297.55,15.76,2,std_mape_folds=7.20; std_mae_folds=460.46,+4.09 pp
prophet_cac_labour_force,labour_force,12,1487.42,17.42,2,std_mape_folds=1.32; std_mae_folds=78.65,+2.43 pp
prophet_ipim_icc_var_labour,ipim_nivel_general + icc_var_labour,12,1562.33,19.34,2,std_mape_folds=15.23; std_mae_folds=1162.93,+0.51 pp
prophet_ipim_cac_var_labour,ipim_nivel_general + var_labour,12,1591.51,19.63,2,std_mape_folds=14.98; std_mae_folds=1136.76,+0.21 pp
prophet_ipim_nivel_general,ipim_nivel_general,12,1605.68,19.85,2,std_mape_folds=14.94; std_mae_folds=1135.20; baseline_obligatorio,0.00 pp
prophet_cac_general,general,12,1620.58,20.27,2,std_mape_folds=16.89; std_mae_folds=1295.38,-0.43 pp
prophet_ipim_cac_general,ipim_nivel_general + general,12,1675.85,21.01,2,std_mape_folds=17.31; std_mae_folds=1320.50,-1.16 pp
prophet_ipim_nivel_general_variaciones,ipim_nivel_general + var_1m_pct + var_3m_pct + var_6m_pct,12,1723.90,21.23,2,std_mape_folds=16.31; std_mae_folds=1241.69,-1.38 pp
prophet_cac_materials,materials,12,1993.51,24.49,2,std_mape_folds=16.65; std_mae_folds=1242.29,-4.64 pp
prophet_ipim_cac_materials,ipim_nivel_general + materials,12,2170.27,26.36,2,std_mape_folds=16.26; std_mae_folds=1177.80,-6.52 pp
prophet_icc_var_labour,icc_var_labour,12,2820.78,35.55,2,std_mape_folds=25.84; std_mae_folds=1869.02,-15.70 pp
prophet_cac_var_labour,var_labour,12,2874.87,36.09,2,std_mape_folds=25.85; std_mae_folds=1871.09,-16.24 pp
prophet_icc_var_materials,icc_var_materials,12,3033.98,38.50,2,std_mape_folds=30.00; std_mae_folds=2200.32,-18.65 pp
prophet_cac_var_materials,var_materials,12,3131.30,39.67,2,std_mape_folds=30.42; std_mae_folds=2224.00,-19.83 pp
prophet_icc_var_general,icc_var_general,12,3205.45,40.10,2,std_mape_folds=27.95; std_mae_folds=2014.71,-20.25 pp
prophet_cac_var_general,var_general,12,3190.09,40.18,2,std_mape_folds=29.63; std_mae_folds=2155.76,-20.33 pp
sarimax_ipim_nivel_general,ipim_nivel_general,12,-,-,0,Experimento opcional omitido: statsmodels no esta instalado.,skip
xgboost_temporal_ipim,ipim_nivel_general + lags + medias_moviles + variaciones + month_sin/cos + time_idx,12,-,-,0,Experimento opcional omitido: xgboost no esta instalado.,skip
