fecha,empresa,numero_comprobante,articulo,precio_original,precio_normalizado,moneda,origen_dato,metodo_estimacion,observaciones_origen
2022-06-21,HOLCIM,0280-00139230,CEMENTO CPC40 BOL 50 KG,799.87,15.9973,ARS,REAL,,Importado desde db/sicons.xlsx - HOLCIM - CEMENTO CPC40 BOL 50 KG
2022-06-22,HOLCIM,0280-00139269,CEMENTO CPC40 BOL 50 KG,778.68,15.5736,ARS,REAL,,Importado desde db/sicons.xlsx - HOLCIM - CEMENTO CPC40 BOL 50 KG
2022-06-22,HOLCIM,0280-00139270,CEMENTO CPC40 BOL 50 KG,778.68,15.5736,ARS,REAL,,Importado desde db/sicons.xlsx - HOLCIM - CEMENTO CPC40 BOL 50 KG
2022-06-22,HOLCIM,0280-00139271,CEMENTO CPC40 BOL 50 KG,778.68,15.5736,ARS,REAL,,Importado desde db/sicons.xlsx - HOLCIM - CEMENTO CPC40 BOL 50 KG
2022-06-23,HOLCIM,0280-00139330,CEMENTO CPC40 BOL 50 KG,778.68,15.5736,ARS,REAL,,Importado desde db/sicons.xlsx - HOLCIM - CEMENTO CPC40 BOL 50 KG
2022-06-23,HOLCIM,0280-00139331,CEMENTO CPC40 BOL 50 KG,778.68,15.5736,ARS,REAL,,Importado desde db/sicons.xlsx - HOLCIM - CEMENTO CPC40 BOL 50 KG
2022-06-23,HOLCIM,0280-00139332,CEMENTO CPC40 BOL 50 KG,778.68,15.5736,ARS,REAL,,Importado desde db/sicons.xlsx - HOLCIM - CEMENTO CPC40 BOL 50 KG
2022-06-29,HOLCIM,0280-00139492,CEMENTO CPC40 BOL 50 KG,778.68,15.5736,ARS,REAL,,Importado desde db/sicons.xlsx - HOLCIM - CEMENTO CPC40 BOL 50 KG
2022-06-30,HOLCIM,0280-00139545,CEMENTO CPC40 BOL 50 KG,778.68,15.5736,ARS,REAL,,Importado desde db/sicons.xlsx - HOLCIM - CEMENTO CPC40 BOL 50 KG
2022-06-30,HOLCIM,0280-00139546,CEMENTO CPC40 BOL 50 KG,778.68,15.5736,ARS,REAL,,Importado desde db/sicons.xlsx - HOLCIM - CEMENTO CPC40 BOL 50 KG
2022-07-01,HOLCIM,0280-00139611,CEMENTO CPC40 BOL 50 KG,778.68,15.5736,ARS,REAL,,Importado desde db/sicons.xlsx - HOLCIM - CEMENTO CPC40 BOL 50 KG
2022-07-01,HOLCIM,0280-00139612,CEMENTO CPC40 BOL 50 KG,778.68,15.5736,ARS,REAL,,Importado desde db/sicons.xlsx - HOLCIM - CEMENTO CPC40 BOL 50 KG
2022-07-01,HOLCIM,0280-00139613,CEMENTO CPC40 BOL 50 KG,778.68,15.5736,ARS,REAL,,Importado desde db/sicons.xlsx - HOLCIM - CEMENTO CPC40 BOL 50 KG
2022-07-02,HOLCIM,0280-00139622,CEMENTO CPC40 BOL 50 KG,778.68,15.5736,ARS,REAL,,Importado desde db/sicons.xlsx - HOLCIM - CEMENTO CPC40 BOL 50 KG
2022-07-04,HOLCIM,0280-00139659,CEMENTO CPC40 BOL 50 KG,778.68,15.5736,ARS,REAL,,Importado desde db/sicons.xlsx - HOLCIM - CEMENTO CPC40 BOL 50 KG
2022-07-04,HOLCIM,0280-00139660,CEMENTO CPC40 BOL 50 KG,778.68,15.5736,ARS,REAL,,Importado desde db/sicons.xlsx - HOLCIM - CEMENTO CPC40 BOL 50 KG
2022-07-05,HOLCIM,0280-00139710,CEMENTO CPC40 BOL 50 KG,778.68,15.5736,ARS,REAL,,Importado desde db/sicons.xlsx - HOLCIM - CEMENTO CPC40 BOL 50 KG
